HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
|  161      |  0.9994   |  0.7351   |  6.345    |  0.7429   |  4.048    |  8.991    |  84.53    |  132.1    |
|  162      |  0.9994   |  0.5928   |  4.425    |  0.8537   |  7.971    |  0.13     |  98.66    |  111.2    |
|  163      |  0.9994   |  0.8084   |  4.917    |  0.5061   |  3.325    |  5.598    |  37.61    |  149.4    |
|  164      |  0.9994   |  0.6177   |  5.115    |  0.715    |  7.242    |  6.833    |  97.59    |  134.8    |
|  165      |  0.9995   |  0.8761   |  3.047    |  0.8589   |  1.138    |  2.692    |  45.98    |  92.12    |
|  166      |  0.9994   |  0.8528   |  4.225    |  0.707    |  3.647    |  7.675    |  72.01    |  108.1    |
|  167      |  0.9995   |  0.6797   |  2.275    |  0.8496   |  3.808    |  4.589    |  20.88    |  147.4    |
|  168      |  0.9994   |  0.4809   |  4.36     |  0.6922   |  5.133    |  4.765    |  47.65    |  161.4    |
|  169      |  0.9993   |  0.4356   |  4.31     |  0.5066   |  1.129    |  3.064    |  98.93    |  28.54    |
|  170      |  0.9993   |  0.587    |  4.321    |  0.409    |  9.022    |  1.186    |  8.572    |  205.7    |
|  171      |  0.9994   |  0.8077   |  4.895    |  0.8409   |  8.69     |  2.364    |  70.16    |  34.4     |
|  172      |  0.9994   |  0.6922   |  3.019    |  0.9652   |  7.395    |  0.8818   |  86.69    |  146.2    |
|  173      |  0.9995   |  0.4698   |  2.047    |  0.7713   |  0.3486   |  1.071    |  60.68    |  25.92    |
|  174      |  0.9993   |  0.5897   |  5.088    |  0.5414   |  7.114    |  9.164    |  67.65    |  100.2    |
|  175      |  0.9995   |  0.9923   |  5.441    |  0.9876   |  4.441    |  8.96     |  80.36    |  121.1    |
|  176      |  0.9994   |  0.6165   |  1.942    |  0.7126   |  1.941    |  5.675    |  63.18    |  154.6    |
|  177      |  0.9994   |  0.5446   |  2.579    |  0.9023   |  9.006    |  5.724    |  71.41    |  173.8    |
